time,x,y,z
1709257301976.0,-0.002239348366856575,-0.0012164842337369919,-0.004987478256225586
1709257302976.0,-0.0033466145396232605,-0.00422957818955183,-0.006255090236663818
1709257303976.0,-0.0025064432993531227,-0.004268859978765249,-0.005796909332275391
1709257304976.0,-0.003478589002043009,-0.004709470085799694,-0.021820068359375
1709257305976.0,-0.002776095177978277,-0.0025012893602252007,-0.008788764476776123
1709257306976.0,-0.0015922319144010544,-0.0013119513168931007,-0.005019545555114746
1709257307976.0,-0.001921684481203556,-0.001517856027930975,-0.0036153197288513184
1709257308976.0,-0.0015326831489801407,-0.0015809773467481136,-0.004393041133880615
1709257309975.0,-0.0012281299568712711,-0.0005524838343262672,-0.004452943801879883
1709257310976.0,-0.0018007773905992508,-0.001037699170410633,-0.004011213779449463
1709257311975.0,-0.0012032189406454563,-0.002945156302303076,-0.004498422145843506
1709257312976.0,-0.002627082634717226,-0.0015915902331471443,-0.004879951477050781
1709257313975.0,-0.004147237632423639,-0.00345398485660553,-0.005517899990081787
1709257314976.0,-0.0049926480278372765,-0.003035739529877901,-0.00383836030960083
1709257315976.0,-0.004380160942673683,-0.00634770980104804,-0.010826408863067627
1709257316976.0,-0.0036785807460546494,-0.0036265067756175995,-0.0042029619216918945
1709257317976.0,-0.0020755399018526077,-0.00154934823513031,-0.006505489349365234
1709257318976.0,-0.002802309114485979,-0.0013652308844029903,-0.004017889499664307
1709257319975.0,-0.0032936898060142994,-0.0014684819616377354,-0.003072082996368408
1709257320975.0,-0.006779033225029707,-0.0075990622863173485,-0.007161557674407959
