time,x,y,z
1709257301976.0,2.2387132048606873e-05,6.825663149356842e-06,0.00012004375457763672
1709257302976.0,2.820044755935669e-06,2.11130827665329e-06,6.186962127685547e-05
1709257303976.0,0.00011176243424415588,8.998997509479523e-05,0.00021260976791381836
1709257304976.0,8.809845894575119e-06,1.873541623353958e-05,4.500150680541992e-05
1709257305976.0,6.528478115797043e-05,5.483347922563553e-05,0.0001366138458251953
1709257306976.0,9.778887033462524e-07,4.6211760491132736e-05,7.623434066772461e-05
1709257307976.0,3.9509497582912445e-05,0.00027908477932214737,5.942583084106445e-05
1709257308976.0,8.008675649762154e-05,1.0509975254535675e-06,1.3530254364013672e-05
1709257309975.0,2.6463530957698822e-05,4.58303838968277e-06,1.710653305053711e-05
1709257310976.0,4.1907187551259995e-05,9.597279131412506e-06,0.0006390213966369629
1709257311975.0,1.643318682909012e-05,3.8644298911094666e-05,0.0002562403678894043
1709257312976.0,9.970739483833313e-06,1.0124873369932175e-05,4.947185516357422e-05
1709257313975.0,2.66185961663723e-05,4.183780401945114e-05,0.00022292137145996094
1709257314976.0,7.831025868654251e-06,2.53431499004364e-05,0.00019162893295288086
1709257315976.0,1.4343298971652985e-05,5.044834688305855e-05,0.00011521577835083008
1709257316976.0,8.036848157644272e-06,1.0944902896881104e-05,0.00022220611572265625
1709257317976.0,1.546088606119156e-05,2.2325199097394943e-05,2.3365020751953125e-05
1709257318976.0,1.7639249563217163e-06,1.5287194401025772e-05,8.082389831542969e-05
1709257319975.0,0.00011215684935450554,4.590349271893501e-05,0.00014215707778930664
1709257320975.0,8.661765605211258e-06,0.0001160111278295517,0.00013190507888793945
