time,x,y,z
1709253220976.0,-0.001745760440826416,-0.0004507005214691162,-0.0009506046772003174
1709253221976.0,0.0015135258436203003,-0.0007441043853759766,-0.0010892152786254883
1709253222976.0,-0.0015346109867095947,-0.0022143423557281494,0.0018132925033569336
1709253223976.0,-0.0020698606967926025,-0.004418462514877319,-0.0016876459121704102
1709253224975.0,0.0010487139225006104,0.0013801902532577515,-0.005717873573303223
1709253225975.0,0.0007231831550598145,0.004332780838012695,-0.001480400562286377
1709253226976.0,-0.0007499456405639648,0.000361025333404541,-0.001720726490020752
1709253227976.0,-0.0016845017671585083,-0.003293156623840332,0.00011599063873291016
1709253228976.0,0.0012809038162231445,-9.173154830932617e-05,-0.002301931381225586
1709253229976.0,0.0007065087556838989,-0.00023958086967468262,-0.0009430646896362305
1709253230976.0,-0.0004335641860961914,-0.0009829401969909668,-0.0016325116157531738
1709253231976.0,0.0005161464214324951,-0.0007284879684448242,-0.0012156963348388672
1709253232976.0,0.0012243092060089111,-0.0003286004066467285,-0.0013620257377624512
1709253233976.0,6.115436553955078e-05,-0.0012830793857574463,-0.0006879568099975586
1709253234976.0,-0.0002539306879043579,-0.000840991735458374,-0.0014040470123291016
1709253235976.0,0.0006576329469680786,-0.0012726187705993652,-0.0010238885879516602
1709253236976.0,0.0009805858135223389,-0.0007007420063018799,-0.0011336207389831543
1709253237976.0,0.0013032406568527222,-0.00109139084815979,-0.0013772249221801758
1709253238976.0,-2.516806125640869e-05,-0.0007558763027191162,-0.0011467337608337402
1709253239976.0,0.0004047900438308716,-0.00024452805519104004,-0.00024890899658203125
